Year,Event name,Entites,Terms
1854,Crimean War (fought between Russia and Turkey),"russia, russian, turkey, turkish",Crimean War
1859,"John Tyndall, the British scientist, described the concept that the carbon dioxide (CO2) and water vapor trapping heat in the atmosphere. Further, he suggested that the changing in the concentration of gases could bring climate change","co2, carbon, dioxide, tyndall, climate","Tyndall Hypothesis, Tyndall experiment, "
1861,Russia abolished serfdom,"russia, serfdom",serfdom
1861,"American Civil War, took place between the Union and seceding Confederacy","union, confederacy, america, american, civil, lincoln",civil war
1862,The first paper money was issued in the United States,money,paper money
1865,"President of the United States, Abraham Lincoln was assassinated","usa, lincoln, united states","Abraham Lincoln, lincoln assassination"
1869,Dmitri Mendeleev created Periodic table,mendeleev,"Dmitri Mendeleev, Periodic table"
1886,Karl Benz sold the first commercial automobile,"automobile, benz","benz, karl benz, automobile"
1891,The German government initiated the first public old-age pension scheme,"german, pension","social insurance, age pension"
1892,"For the first time, Fingerprinting was officially adopted.",fingerprint,fingerprint
1893,New Zealand became the first country to enact women's suffrage,"women, new zealand, zealand","women suffrage, suffrage movement, suffragette"
1894,First commercial film was released by Jean Aimé Le Roy,"film, movie","film, movie"
1898,Britain obtained a 99-year lease of Hong Kong from China,"britain, china, hong, kong",hong kong
1900,Hawaii became an official USA territory,hawaii,hawaii
1900,"Hurricane ravages Galveston,",hurricane,Galveston hurricane
1900,Sigmund Freud's The Interpretation of Dreams.,"freud, dream",Sigmund Freud
1900,Chapman Catt succeeds Susan B. Anthony as president of National Woman Suffrage Association.,"women, suffrage, chapman, susa, anthony","Chapman Catt,  Susan Anthony, women suffrage, Suffragette"
1901,"In Stockholm (Sweden), the first Nobel Prize ceremony was held","nobel, sweden, stockholm",nobel prize
1901,"As President McKinley begins second term, he is shot fatally by anarchist Leon Czolgosz","president, mckinley, anarchist, czolgosz, anarchism","William McKinley, president McKinley"
1901,"Queen Victoria dies, and is succeeded by her son, Edward VII.","victoria, queen, king, edward, england","queen victoria, Edward VIl, edward seventh, king edward"
1901,Theodore Roosevelt become the youngest President of the United States,"roosevelt, usa, president",Theodore Roosevelt
1903,Henry Ford organizes Ford Motor Company.,"ford, motor","henry ford, ford motor"
1903,"Wright brothers, Orville and Wilbur, fly first powered, controlled, heavier-than-air plane at Kitty Hawk,","wright, fly, airplane","wright brother, airplane"
1904,Entente Cordiale: Britain and France settle their international differences,"britain, france, entente, cordiale",Entente Cordiale
1904,General theory of radioactivity by Rutherford and Soddy.,"radioactivity, rutherford, soddy.","radioactivity, rutherford, soddy, radioactive"
1904,Russian Japanese War,"russia, russian, japan, japanese, korea, manchuria","RussoJapanese  war, russo japanese"
1905,bloody sunday,"russia, sunday, petersburg, duma, parliament, october, manifesto, ","bloody sunday, red sunday"
1905,Albert Einstein's formulation of relativity,"relativity, einstein",Albert Einstein
1907,hauge peace conference,hauge,"hauge peace, peace conference"
1908,First commercial radio transmissions,radio,radio
1909,The National Association for the Advancement of Colored People is founded in New York by prominent black and white intellectuals and led by W.E.B. Du Bois.,"colored, bois",naacp
1910,"Angel Island, in San Francisco Bay, becomes immigration center for Asians entering U.S.","angel, francisco, bay, immigration, asian, aisa, us, usa",Angel Island
1911,Xinhai Revolution in China overthrows the Qing Dynasty,"china, xinhai, qing","Xinhai Revolution, Qing Dynasty"
1912,End of the Chinese Empire and Republic of China established,"china, chinese",Republic China
1912,First Balkan War began,"balkan, ottoman, turkey, turkish, bulgaria, serbia, greece, montenegro, serb, albania, muslim, turk",balkan war
1912,Woodrow Wilson elected as the 28th President of the United States,"woodrow, wilson, usa, president",Woodrow Wilson
1913,Second Balkan War and Treaty of Bucharest too place,"balkan, ottoman, turkey, turkish, bulgaria, serbia, greece, montenegro, serb, albania, muslim, turk, bucharest",balkan war
1914,Gavrilo Princip assassinated Archduke Franz Ferdinand of Austria in Sarajevo that triggered the World War I,"gavrilo, princip, archduke, ferdinand, austria, sarajevo","Franz Ferdinand, Gavrilo Princip"
1915,First use of poison gas at the Battle of Neuve Chapelle and Second Battle of Ypres,poison,chemical warfare
1916,The implementation of daylight saving time system,"daylight, light",daylight saving
1917,Russian Revolution ended the Russian Empire,"russia, revolution, russian, tzar, lenin","Russian Revolution, Russian Empire"
1917,The United States joined the Allies (countries) for the last 17 months of World War I,"allies, usa","allies, ally"
1918,End of World War I,"allies, allied,central, usa, german, ottoman, greece, france, germany, french, british, britain, england, english, italy, italian, russia, russian, turkey, turk, japan, japanese, china, chinese, austria, hungary, austriahungary, bulgaria",world war
1918,"Poland, Ukraine, and Belarus declared their independence from Russia.","poland, polish, ukraine, russia, belarus, ukrainian","poland, ukraine, russia, belarus"
1919,Treaty of Versailles redrew European borders.,"versailles, paris, german, germany, woodrow, wilson, lloyd, clemenceau","Versailles treaty, Treaty Versailles"
1919,League of Nations founded in Paris.,"paris, german, germany, woodrow, wilson, lloyd, clemenceau",league nations
1921,"Adolf Hitler became Führer (guide, leader) of the Nazi Party.","nazi, hitler, german, germany","adolft hitler, hitler, nazi"
1922,The Turkish Grand National Assembly abolished Ottoman Sultanate.,"ottoman, turkish, turkey","Ottoman Sultanate, ottoman, ottoamn empire"
1923,Turkish War of Independence ended and Kemal Atatürk became the first President of the newly established Republic of Turkey. Capital was moved from Istanbul to Ankara,"istanbul, ankara, ataturk, turkey, turkish, ottoman",Kemal Ataturk
1924,Death of Vladimir Lenin (of Russia); rise of Stalin.,"russia, stalin, lenin, communism, socialism","vladimir lenin, lenin"
1924,The Caliphate was abolished by Kemal Atatürk.,"caliphate, ataturk","Caliphate, Kemal Ataturk"
1925,Benito Mussolini gains dictatorial powers in Italy and adopted the title of ‘Duce’.,"mussolini, italy, duce, italian",Benito Mussolini
1925,Mein Kampf (an autobiography of the National Socialist leader Adolf Hitler) was published.,"hitler, national, socialist",Mein Kampf
1927,Joseph Stalin became leader of the Soviet Union.,"stalin, soviet, russia, russian","stalin, joseph stalin"
1927,The United Kingdom of Great Britain and Ireland officially became the United Kingdom of Great Britain and Northern Ireland.,"ireland, irish, britain","United Kingdom, ireland ,northern ireland"
1928,Mickey Mouse was created at the Walt Disney Studio.,"disney, mickey","Mickey Mouse, Walt Disney"
1929,Wall Street crash of 1929 and the beginning of the Great Depression,"wall street, wallstreet, depression","wall street, great depression"
1929,Vatican City has given the status of a sovereign State.,vatican,vatican
1929,Saint Valentine's Day Massacre.,valentine,"Valentine Day, valentine"
1930,First FIFA World Cup hosted,"fifa, football","fifa, world cup"
1931,Japan invaded Manchuria (China) and occupied it until the end of World War II,"japan, japanese, china, chinese","Manchurian Occupation, manchuria"
1932,Franklin D Roosevelt is elected President of the United States,"roosevelt, usa, president",Franklin Roosevelt
1932,The Nazi party became the largest single party in the German parliament,"german, germany, nazi, hitler",nazi
1933,Adolf Hitler became the Chancellor of Germany,"german, germany, nazi, hitler","adolft hitler, hitler"
1935,Persia became Iran,"iran, persia","Iran, persia"
1937,Japanese invaded China,"japan, japanese, china, chinese","japan, china"
1937,The Irish Republican Army attempted to assassinate King George VI of the UK,"irish, ireland, england, english, king, george, kingdom","Irish Republican Army, ira, King George"
1938,Munich agreement that handed over Czechoslovakia to Nazi Germany,"munich, german, germany, nazi, czechoslovakia, czech",munich agreement
1939,Nazi invasion of Poland that triggered the beginning of World War II,"nazi, poland, polish, german, germany","Nazi invasion, world war, war ii"
1940,Soviet Union annexes the Baltic states,Soviet Union annexes the Baltic states,baltic sate
1940,Winston Churchill became the Prime Minister of the United Kingdom,"churchill, kingdom, britain","winston churchill, churchill"
1941,Attack on Pearl Harbor that forced the USA to join World War II,"usa, pearl, harbor",pearl harbor
1941,Hitler invaded the Soviet Union,"hitler, soviet, russia, german, russian, germany","hitler, adolft hitler, soviet union, russia"
1943,Battle of Stalingrad ended with over two million casualties and the retreat of the German Army,"german, germany, russia, russian, stalingrad", Stalingrad
1943,"Tehran Conference participated by Franklin Roosevelt, Winston Churchill, and Joseph Stalin; all agreed to launch Operation Overlord.","tehran, roosevelt, churchill, stalin",tehran conference
1943,Green Revolution began.,green,green revolution
1944,Chechen insurgency ended with deportation of the entire Chechen population.,chechen,chechen
1944,"First operational electronic computer, Colossus, introduced","computer, colossus","computer, colossus"
1944,D Day (Military terms associated with Invasion of Normandy),normandy,"d day, normandy"
1945,Battle of Berlin,"berlin, german, russia, russian, soviet, germany","battle berlin, berlin battle"
1945,Yalta Conference,yalta,Yalta Conference
1945,Atomic bombing on Hiroshima and Nagasaki (Japan),"atomic bomb, hiroshima, nagasaki, japan","atomic bomb, atomic bombing"
1945,End of World War II in Europe. The Holocaust ends after (about) 12 million deaths,holocaust,"World War, holocaust, war ii"
1945,"Death of Franklin Delano Roosevelt, Adolf Hitler, and Benito Mussolini","roosevelt, hitler, mussolini","Franklin Roosevelt, Adolf Hitler, Benito Mussolini"
1945,Potsdam Conference (World War II) divided Europe into Western and Soviet blocs,"soviet, german, germany",Potsdam Conference
1945,United Nations founded,"nation, usa","united nation, united nations"
1946,First images had been taken of the Earth from space,"space, earth, shuttle","earth, space"
1948,Beginning of apartheid in South Africa,"africa, race, segregation, black, white, african","South Africa, apartheid"
1948,Division of North and South Korea,korea,north korea
1949,Creation of NATO (North Atlantic Treaty Organization),nato,nato
1949,Germany partitioned as the Soviet socialist German Democratic Republic and the NATO-backed Federal Republic of Germany,"germany, german, soviet, socialist, nato","German Democratic, Republic Germany"
1949,Establishment of the People's Republic of China under the leadership of Mao Zedong,"china, mao, zedong, chinese","Mao Zedong, republic china"
1952,Egyptian Revolution under Gamal Abdel Nasser overthrew King Farouk and terminated British occupation,"egyptian, egypt, cairo, gamal, nasser, abdel, faruk, british","Egyptian Revolution, Abdel Nasser, King Farouk"
1953,Stalin died,"stalin, soviet, russia, russian","joseph stalin, stalin"
1954,"First time, the Soviet Union generated the electricity by nuclear power","soviet, electricity, nuclear power, nuclear,","nuclear power, electricity"
1955,Warsaw Pact signed,warsaw,Warsaw Pact
1957,Beginning of the Space Age with the launch of Sputnik I,"space, shuttle, russia, russian, us, usa, american","Space Age, Sputnik"
1958,"NASA, the US Federal Aviation Authority and Campaign for Nuclear Disarmament (CND) established","nasa, nuclear, disarmament","NASA, Nuclear Disarmament, cnd"
1959,Cuban Revolution,"cuba, cuban","Cuban Revolution, cuba"
1962,Cuban missile crisis,"cuba, cuban",Cuban missile
1962,Sino-Indian War,"indian, india, china, chinese","Sino-Indian, sindoindian"
1963,Assassination of John F Kennedy,"kennedy, persident, usa, us","John F Kennedy, F kennedy, president kennedy"
1965,Deaths of Winston Churchill,"churchill, kingdom, britain","Winston Churchill, churchill"
1968,"Martin Luther King, Jr. and Robert F. Kennedy assassinated while the Poor People's Campaign","luther, kennedy","Martin Luther, Luther King, Robert Kennedy"
1969,Muammar Gaddafi overthrew King Idris of Libya in a Coup d'état and established the Libyan Arab Republic,"muammar, gaddafi, libya, libyan, arab","Muammar Gaddafi, Libyan Arab Republic, lar, lybia"
1973,"First space station, Skylab, was launched","space, skylab","skylab, space station"
1976,First outbreak of the Ebola virus,"ebola, virus, africa, congo, zaire",ebola
1978,Birth of the first test-tube baby,"testtube, test tube, baby, birth","testtube, tube baby"
1979,Margaret Thatcher became the Prime Minister of the UK,"thatcher, women, kingdom, minister",Margaret Thatcher
1985,Mikhail Gorbachev became Premier of the Soviet Union,"gorbachev, soviet","Mikhail Gorbachev, Gorbachev"
1985,First use of DNA fingerprinting,"dna, finterprint, fingerprinting","dna, finterprint, fingerprinting"
1986,Chernobyl disasters,chernobyl,Chernobyl
1989,Fall of the Berlin Wall,"berlin, german, soviet, germany",berlin wall
1990,Sir Tim Berners-Lee invented the World Wide Web (WWW),"web, bernerlee","World Wide Web, wide web, www"
1990,Gulf War began,"gulf, persian, iraq, usa",gulf war
1990,"After 27 years of imprisonment, Nelson Mandela released","mandela, nelson"," Nelson Mandela, mandela"
1991,Gulf War ended after US withdrawal and failed uprising,"gulf, persian, iraq, usa",gulf war
1991,Dissolution of the Soviet Union and subsequent independence of 15 former Soviet republics,"soviet, union, russia, russian, communism, socialism, communist, socialist",Soviet Union
1991,Boris Yeltsin became the first President of the Russian Federation,"yeltsin, russia, russian",Boris Yeltsin
1991,The first Website has been put online and made available to the public,"website, online","website, online"
1992,Maastricht Treaty created the European Union,"maastricht, europe, european",Maastricht Treaty
1993,Velvet divorce between Czech Republic and Slovakia,"czech, slovakia",velvet divorce
1994,End of apartheid in South Africa and subsequent election of Nelson Mandela the great leader,"apartheid, africa, mandela, race, afrian, white","apartheid, South Africa, Nelson Mandela, mandela"
1995,Establishment of the World Trade Organization,trade,"World Trade, wto"
1997,Transfer of sovereignty of Hong Kong from UK to China,"uk, china, hong, kong, chinese",Hong Kong
1997,"Diana, Princess of Wales, was killed in a car accident in Paris, France","diana, wales, ",Princess Diana
1998,Google is founded by Larry Page and Sergey Brin,google,google
1999,Euro is introduced,"euro, money, currency",euro
2001,"Terrorists destroyed the World Trade Center in New York City and damaged the Pentagon in Washington, DC","new, york, pentagon, terrorist, us, muslim, islam, september, bin, laden","september, nine eleven, terrorist, bin laden"
2001,Wikipedia founded.,wikipedia,wikipedia
2003,Iraq War began that triggered worldwide protests.,"iraq, usa, us","iraq, iraq war"
2003,"The space shuttle, Columbia, collapsed (while landing) nearby Texas (USA); all the seven astronauts (including Indian astronaut Kalpana Chawla) died in the accident.","columbia, texas, astronaut",space shuttle
2005,Angela Merkel became Germany's first woman Chancellor.,"merkel, german, germany",angela merkel
2006,Ellen Johnson Sirleaf became the President of Liberia. She was the first elected female head of state in Africa.,"Ellen, johnson, sirleaf, liberia, africa, woman, women",Ellen Sirleaf
2006,Execution of Saddam Hussein.,"saddam, hussein, iraq",saddam hussein
2008,Stock markets plunge across the world.,stock,Stock market
2008,Monarchy system terminated in Nepal.,"nepal, monarchy",nepal
2009,"The world's tallest skyscraper, Burj Khalifa (in Dubai), has been built.","khalifa, dubai",burj khalifa
2010,The largest oil spill in US history occurred in the Gulf of Mexico.,"mexico, gulf, oil","oil spill, oil"
1911,First use of aircraft as an offensive weapon in the Turkish-Italian War. Italy defeats Turks and annexes Tripoli and Libya.,"turkish, turkey, Italian, Italy, turk, tripoli, libya",
1911,Chinese Republic proclaimed after revolution overthrows Manchu dynasty. Sun Yat-sen named president.,"china, chinese, manchu",
1911,"Mexican Revolution: Porfirio Diaz, president since 1877, replaced by Francisco Madero.","mexico, mexican, porfirio, diaz, president, francisco, madero",
1911,Triangle Shirtwaist Company fire in New York; 146 killed.,"shirtwaist, new york",shirtwaist company
1911,Amundsen reaches the South Pole.,amundsen,Amundsen
1911,Ernest Rutherford discovers the structure of the atom.,"atom, rutherford","Ernest Rutherford, Rutherford, atom"
1912,"Balkan Wars (1912–1913) resulting from territorial disputes: Turkey defeated by an alliance of Bulgaria, Serbia, Greece, and Montenegro; London peace treaty (1913) partitions most of European Turkey among the victors.","turkey, bulgaria, serbia, greece, montenegro, london peace treaty, european turkey",Balkan War
1912,"In the second war (1913), Bulgaria attacks Serbia and Greece and is defeated after Romania intervenes and Turks recapture Adrianople.","bulgaria, serbia, greece, romania, adrianople, turks","bulgaria, Serbia, Greece, Romania"
1912,"Titanic sinks on maiden voyage; over 1,500 drown.",titanic,titanic
1912,New Mexico and Arizona admitted as states.,"mexico, arizona",new mexico
1913,Suffragists demonstrate in London.,"suffragists, london","Suffragist, women suffrage, suffrage, Suffragette"
1913,Garment workers strike in New York and Boston; win pay raise and shorter hours.,"garment, york, boston","Garment worker, worker strike, workers strike"
1913,Stravinsky's The Rite of Spring.,stravinsky,Stravinsky
1914,"World War I begins: Austrian Archduke Francis Ferdinand and his wife Sophie are assassinated; Austria declares war on Serbia, Germany on Russia and France, Britain on Germany. (For detailed chronology see, World War I.)","austrian, archduke, francis, ferdinand, sophie, austria, serbia, germany, russia, france, britain","World War, austria, serbia"
1914,Panama Canal officially opened.,"panama, canal",panama canal
1914,"Congress sets up Federal Trade Commission, passes Clayton Antitrust Act.","congress, federal, trade, commission, clayton, antitrust","trade Commission, Clayton Antitrust"
1915,Lusitania sunk by a German submarine.,"lusitania, german, submarine",Lusitania
1915,Second Battle of Ypres.,ypres,"ypers, yper"
1915,"Genocide of an estimated 600,000 to 1 million Armenians by Turkish soldiers.","genocide, armenian, turkey, turkish","armenian genocide, armenia, turkey"
1916,Battle of Verdun.,verdun,verdun
1916,Battle of the Somme.,somme,somme
1916,Tom Mooney arrested for San Francisco bombing (pardoned in 1939).,"mooney, san francisco",Tom Mooney
1916,Pershing fails in a raid into Mexico in quest of rebel Pancho Villa.,"pershing, mexico, pancho, villa",pancho villa.
1916,"“Black Tom” explosion at a munitions dock in Jersey City, N.J., $40,000,000 damages; traced to German saboteurs.","jersey, german, saboteur",black tom
1916,Margaret Sanger opens the first birth control clinic.,"margaret, sanger, birth, clinic",birth control
1916,Easter Rebellion in Ireland put down by British troops.,"easter, rebellion, ireland, british troops",Easter Rebellion
1916,Jeannette Rankin becomes the first woman elected to Congress.,"jeannette, rankin, congress, woman, women",Jeannette Rankin
1917,First U.S. combat troops in France as the U.S. declares war on Germany (April 6).,"us, france, germany",us troop
1917,Third Battle of Ypres.,ypres,"ypers, yper"
1917,Kerensky becomes prime minister and forms a provisional government (July).,"kerensky, minister, provisional",Kerensky
1917,"In the October Revolution, Bolsheviks seize power in an armed coup d'état led by Lenin and Trotsky. Kerensky flees.","october, revolution, bolshevik, lenin, trotsky, kerensky","Bolshevik, Lenin, Trotsky, Kerensky"
1917,Balfour Declaration promises a Jewish homeland in Palestine.,"balfour, jewish, palestine, jew","Balfour Declaration, palestine, israel"
1917,U.S. declares war on Austria-Hungary (Dec. 7).,"usa., austria-hungary, austriahungary, austria, hungary","austria-hungary, austriahungary"
1917,Sigmund Freud's Introduction to Psychoanalysis.,"sigmund, freud, psychoanalysis","sigmund freud, psychoanalysis"
1918,Russian revolutionaries execute the former czar and his family.,"russian, russia, czar",Russian revolution
1918,Russian Civil War between Reds (Bolsheviks) and Whites (anti-Bolsheviks); Reds win in 1920.,"russian, civil, russia, red, white, bolshevik",Bolshevik
1918,"Allied troops (U.S., British, French) intervene (March); leave in 1919.","allied, us, usa, british, french",Allied
1918,Second Battle of the Marne (July–Aug.),marne,marne
1918,German Kaiser abdicates (Nov.); hostilities cease on the Western Front.,"german, kaiser, western, front",Kaiser
1918,Japanese hold Vladivostok until 1922.,"japanese, vladivostok",Vladivostok
1918,"Worldwide influenza epidemic strikes; by 1920, nearly 20 million are dead.","influenza, epidemic, virus, germ","influenza, spanish flu"
1919,"Mahatma Gandhi initiates satyagraha (“truth force”) campaigns, beginning his nonviolent resistance movement against British rule in India.","mahatma, gandhi, satyagraha, british, india, indian, britain","Mahatma Gandhi, gandhi, satyagraha"
1920,"U.S. Department of Justice ""red hunt"" nets thousands of radicals; aliens deported.","justice, red, radical, alien",red hunt
1920,Women's suffrage (19th) amendment ratified.,"women, suffrage","Women, suffrage, 19th amendment, Suffragette"
1920,Treaty of Sèvres dissolves the Ottoman Empire.,ottoman,ottoman empire
1922,Mussolini marches on Rome; forms Fascist government.,"mussolini, rome, fascist","Mussolini, benito Mussolini"
1922,"Irish Free State, a self-governing dominion of the British Empire, officially proclaimed.","irish, ireland, british, britain",Irish Free
1923,Widespread Ku Klux Klan violence in the U.S.,"klux klan, kkk","klux klan, kkk"
1923,Earthquake destroys a third of Tokyo.,"tokyo, earthquake","tokyo, earthquake"
1923,Irish poet William Butler Yeats wins the Nobel Prize in Literature.,"William Butler, butler Yeats, nobel prize","William Butler, butler Yeats, nobel prize"
1924,Italian Fascists murder Socialist leader Giacomo Matteotti.,Giacomo Matteotti,Giacomo Matteotti
1924,"Interior Secretary Albert B. Fall and oilmen Harry Sinclair and Edward L. Doheny are charged with conspiracy and bribery in the Teapot Dome scandal, involving fraudulent leases of naval oil reserves.","teapot, dome, scandal, oil, naval",Teapot Dome
1924,"Nathan Leopold and Richard Loeb convicted in the ""thrill killing"" of Bobby Franks in Chicago; defended by Clarence Darrow; sentenced to life imprisonment. (Loeb killed by a fellow convict in 1936; Leopold paroled in 1958, dies in 1971.)","nathan, leopold, richard, loeb, bobby, franks, chicago, darrow","Nathan Leopold, Richard Loeb, thrill killing"
1925,Nellie Tayloe Ross elected governor of Wyoming; the first woman governor elected in the U.S.,"nellie, tayloe, ross, wyoming, woman, governer,",wyoming
1925,"John T. Scopes convicted and fined for teaching evolution in a public school in Tennessee ""Monkey Trial""; sentence set aside.","evolution, tennessee, monkey, trial",monkey Trial
1925,"John Logie Baird, a Scottish inventor, transmits human features by television.","baird, inventor, television,",television
1926,U.S. marines dispatched to Nicaragua during revolt; they remain until 1933.,"marine, nicaragua",nicaragua
1926,Ernest Hemingway's The Sun Also Rises.,"ernest, hemingway","Ernest Hemingway, Hemingway"
1927,Trotsky expelled from the Russian Communist Party.,"trotsky, russian, communist","Trotsky, Russian Communist,communist"
1927,Charles A. Lindbergh flies the first successful solo nonstop flight from New York to Paris.,"lindbergh, flight","Lindbergh, flight, airplane"
1927,Philo T. Farnsworth demonstrates a working television model.,"farnsworth, television",television
1928,Alexander Fleming discovers penicillin.,"fleming, penicillin","Alexander Fleming, fleming, penicillin"
1929,Trotsky expelled from the USSR.,"trotsky, ussr","trotsky, ussr"
1929,Lateran Treaty establishes independent Vatican City.,"lateran, vatican","lateran, vatican"
1929,Edwin Powell Hubble proposes the theory of the expanding universe.,"hubble, universe","Hubble, expanding universe"
1930,"Britain, U.S., Japan, France, and Italy sign naval disarmament treaty.","britain, usa, japan, france, italy, naval",naval disarmament
1930,Pluto discovered by astronomers.,"astronomer, pluto, space",pluto
1931,Spain becomes a republic with the overthrow of King Alfonso XIII.,"spain, republic, alfonso","Spain, King Alfonso"
1931,"British Parliament enacts the statute of Westminster, legalizing dominion equality with Britain.","westminster, dominion","Westminster, dominion equality "
1931,Mukden Incident begins Japanese occupation of Manchuria.,"mukden, japan, manchuria, japanese","Mukden Incident,  Manchuria."
1931,Harold C. Urey discovers heavy hydrogen.,"harold, urey, hydrogen","heavy hydrogen, hydrogen"
1931,Gangster Al Capone sentenced to 11 years in prison for tax evasion (freed in 1939; dies in 1947).,"capone, tax",Al Capone
1931,"Notorious Scottsboro trial begins, exposing the depth of Southern racism.","scottsboro, southern, racism",Scottsboro
1932,U.S. protests Japanese aggression in Manchuria.,"usa, japan, manchuria, japanese",manchuria
1932,Amelia Earhart is the first woman to fly the Atlantic solo.,"amelia, earhart, atlantic, flight",Amelia Earhart
1933,Reichstag fire in Berlin; Nazi terror begins.,"reichstag, berlin, nazi",Reichstag
1933,Germany and Japan withdraw from the League of Nations.,"germany, japan, league","League Nation, league nation"
1934,Chancellor Dollfuss of Austria assassinated by Nazis.,"dollfuss, austria, nazi","Dollfuss, nazi"
1934,Hitler becomes führer.,"hitler, fuhrer","adolft hitler, hitler, fuhrer"
1934,USSR admitted to the League of Nations.,"ussr, league, nation","USSR, league nation"
1934,"Dionne sisters, the first quintuplets to survive beyond infancy, born in Canada.","dionne, quintuplet","Dionne sister, quintuplet"
1934,"Mao Zedong begins the Long March north with 100,000 soldiers.","mao, zedong",Mao Zedong
1935,Saar incorporated into Germany after a plebiscite.,"saar, germany, plebiscite","Saar, plebiscite"
1935,Mussolini invades Ethiopia; League of Nations invokes sanctions.,"mussolini, ethiopia, sanction","Mussolini, benito mussolini"
